"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-05-27 08:11:16.000,miners,0,20,3140,1121,8142,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,1416,-43.5,bittensor,None,None,None,368,0,miners,79,215,1416,-43.5,1,None,3958576,0,0,2.34e-15,20260521_0718,validator_metrics,401897,33.3,143429,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,207,15441,0,1640,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-94341,-8.11,bittensor,None,None,None,1121,0,miners,79,232,-94341,-8.11,1,None,5918301,0,0,0,20260521_0718,validator_metrics,1976470,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,217,18097,8711,8411,81.3,163,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-47859,-53.4,bittensor,None,None,None,441,220,miners,79,223,-47859,-53.4,1,None,3909279,7678,15356,2.82e-16,20260521_0718,validator_metrics,2316438,-949,1114985,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,231,18582,8909,8504,73.4,147,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-22672,-57.0,bittensor,None,None,None,423,211,miners,79,226,-22672,-57.0,1,None,3884600,13713,27426,2.09e-16,20260521_0718,validator_metrics,2378549,-429,1140324,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,233,0,0,8173,0,0,0,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,9133,-44.7,bittensor,None,0,0,0,0,miners,79,256,9133,-44.7,1,0,3947969,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,236,6447,3190,8323,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-52403,-58.2,bittensor,None,None,None,2053,971,miners,79,230,-52403,-58.2,1,None,3902958,0,0,9.79e-20,20260521_0718,validator_metrics,825245,-287,408301,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,238,14077,0,1763,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-80227,-8.08,bittensor,None,None,None,1673,0,miners,79,251,-80227,-8.08,1,None,5862494,0,0,0,20260521_0718,validator_metrics,1801913,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,242,19031,430,139,0.125,0.250,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-2498,-0.740,bittensor,None,None,None,6115,0,miners,79,209,-2498,-0.740,1,None,6287001,0,0,1.71e-14,20260521_0718,validator_metrics,2435928,-202,54990,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,243,7482,2957,8882,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,178,-55.6,bittensor,None,None,None,1997,0,miners,79,216,178,-55.6,1,None,3735573,0,0,1.82e-15,20260521_0718,validator_metrics,957723,-87.1,378493,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,249,1728,594,8154,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-43523,-54.0,bittensor,None,None,None,509,0,miners,79,211,-43523,-54.0,1,None,3953763,0,0,1.27e-14,20260521_0718,validator_metrics,221172,-82.3,75984,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,250,3488,1668,8250,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-21123,-56.3,bittensor,None,None,None,1817,880,miners,79,220,-21123,-56.3,1,None,3924817,0,0,3.87e-16,20260521_0718,validator_metrics,446401,-136,213481,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,253,0,0,8418,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-69286,-59.6,bittensor,None,None,None,0,0,miners,79,236,-22483,-59.6,1,None,3874638,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,255,14772,0,1718,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-74734,-7.86,bittensor,None,None,None,984,0,miners,79,234,-74734,-7.86,1,None,5875567,0,0,0,20260521_0718,validator_metrics,1890792,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,30,14676,1550,2980,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,50571,-17.6,bittensor,None,None,None,139,0,miners,79,250,50571,-17.6,1,None,5463515,0,0,0,20260521_0718,validator_metrics,1878496,-546,198343,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,33,0,0,8246,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-67546,-57.0,bittensor,None,None,None,0,0,miners,79,254,-17636,-57.0,1,None,3926243,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,43,8155,0,4634,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-160598,-28.9,bittensor,None,None,None,0,0,miners,79,245,-160598,-28.9,1,None,4987285,0,0,0,20260521_0718,validator_metrics,1043868,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,50,0,0,8181,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-66245,-58.4,bittensor,None,None,None,0,0,miners,79,255,-17016,-58.4,1,None,3945840,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,54,303,101,8469,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-1798,-59.6,bittensor,None,None,None,0,0,miners,79,212,-1798,-59.6,1,None,3859606,0,0,4.15e-15,20260521_0718,validator_metrics,38767,55.7,12967,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,55,8385,0,4613,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-112684,-33.8,bittensor,None,None,None,0,0,miners,79,253,-112684,-33.8,1,None,4995512,0,0,0,20260521_0718,validator_metrics,1073278,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,58,0,0,8376,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-70987,-35.7,bittensor,None,None,None,0,0,miners,79,252,-20591,-35.7,1,None,3887053,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,60,14600,5934,8830,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-50142,-55.5,bittensor,None,None,None,6799,0,miners,79,210,-50142,-55.5,1,None,3758496,0,0,1.28e-14,20260521_0718,validator_metrics,1868861,553,759516,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,7,34855,9513,1864,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-30304,-4.33,bittensor,None,None,None,492,0,miners,79,201,-30304,-4.33,1,None,5801978,0,0,3.3e-12,20260521_0718,validator_metrics,4461401,12440,1217674,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,71,12387,0,3326,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-101886,-12.3,bittensor,None,None,None,2181,0,miners,79,249,-101886,-12.3,1,None,5393808,0,0,0,20260521_0718,validator_metrics,1585599,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,72,2894,958,8436,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-3372,-67.4,bittensor,None,None,None,236,0,miners,79,204,-3372,-67.4,1,None,3873988,0,0,9.81e-14,20260521_0718,validator_metrics,370428,578,122617,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,73,18913,436,219,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-2523,-1.34,bittensor,None,None,None,6203,0,miners,79,208,-2523,-1.34,1,None,6263214,0,0,1.72e-14,20260521_0718,validator_metrics,2420885,-179,55757,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,74,11726,0,3119,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-98169,-12.3,bittensor,None,None,None,1448,0,miners,79,248,-98169,-12.3,1,None,5452731,0,0,0,20260521_0718,validator_metrics,1500898,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,79,8167,3201,8711,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,6063,-66.8,bittensor,None,None,None,2393,0,miners,79,229,6063,-66.8,1,None,3789147,0,0,6.09e-18,20260521_0718,validator_metrics,1045383,155,409706,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,95,7549,0,4902,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-35686,-36.5,bittensor,None,None,None,0,0,miners,79,247,-35686,-36.5,1,None,4909899,0,0,0,20260521_0718,validator_metrics,966323,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0.0547,170,2636,875,8605,0,0,0,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-64855,-48.3,bittensor,0.00924,0,0,0,0,miners,79,233,-64855,-48.3,1,0,3818318,0,0,0,20260521_0718,validator_metrics,337453,558,112050,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0.188,205,30705,3201,19284,0,0,2.59e-13,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-86489,-121,bittensor,0.233,0,0,632,68.9,miners,79,207,-86489,-121,1,1.23e-12,687696,0,0,2.91e-14,20260521_0718,validator_metrics,3930264,8502,409709,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0.234,147,30070,2716,19184,0,0,8.33e-12,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-88869,-122,bittensor,0.0165,0,0,434,0,miners,79,202,-88869,-122,1,3.97e-11,715947,0,0,1.14e-12,20260521_0718,validator_metrics,3848908,7002,347696,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0.234,153,29060,2390,19213,0,0,6.38e-14,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-82100,-122,bittensor,0.170,0,0,497,68.9,miners,79,214,-82100,-122,1,3.04e-13,708294,0,0,3.84e-15,20260521_0718,validator_metrics,3719724,6702,305962,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0.383,163,50273,19692,6542,18.2,28.9,0,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-51110,-45.2,bittensor,-0.00367,0,0,5895,121,miners,79,228,-51110,-45.2,1,-7.99e-13,4453007,0,0,1.18e-17,20260521_0718,validator_metrics,6434924,32.2,2520577,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0.477,5,64286,20818,17197,0,0,0.396,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-326214,-120,bittensor,0.0109,0,0.501,1486,0,miners,79,25,-326214,-120,1,5.99e-11,1157001,0,0,1.48,20260521_0718,validator_metrics,8228660,9128,2664764,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
